,Unknown,A,B,C,D,F,I,K,O,V,datetime,Å,Ø
58,,28.8,4.9,4.7,2.3,4.8,4.7,0.7,16.9,19.2,2018-02-05,4.4,8.6
59,,29.0,5.0,4.4,2.0,4.8,4.7,0.7,17.2,19.3,2018-02-04,4.4,8.5
60,,28.7,5.0,4.5,2.1,4.9,4.9,0.7,17.0,19.3,2018-02-01,4.3,8.7
61,,28.8,5.0,4.5,2.2,4.9,4.8,0.7,17.1,19.2,2018-01-29,4.3,8.6
62,,28.3,5.0,4.6,2.1,4.9,4.8,0.6,17.1,19.5,2018-01-28,4.4,8.5
63,,28.1,5.0,4.8,2.3,5.0,4.8,0.6,17.1,19.3,2018-01-25,4.4,8.7
64,,28.1,4.8,4.9,2.3,4.7,4.7,0.7,17.0,19.7,2018-01-22,4.5,8.6
65,,28.5,4.8,4.6,1.7,4.8,4.7,0.7,16.8,20.2,2018-01-21,4.5,8.8
66,,28.5,4.8,4.9,1.8,4.7,4.7,0.6,16.9,19.8,2018-01-14,4.6,8.7
67,,28.2,4.8,5.3,2.2,4.8,4.3,0.6,16.8,19.7,2018-01-11,4.8,8.4
68,,28.2,5.0,5.0,2.6,4.9,4.8,0.6,17.1,18.9,2018-01-07,4.6,8.4
