,year,word,tf,n,idf,tf_idf
22932,1932,25-,0.00014619883040935673,15,1.2992829841302609,0.00018995365265062295
22502,1932,"500,00",0.0003118908382066277,32,0.6061358035703155,0.00018904820384259353
22781,1932,baandlagt,0.00018518518518518518,19,1.0116009116784799,0.00018733350216268145
23493,1932,"100.000,00",7.797270955165692e-05,8,2.3978952727983707,0.0001869703916411985
23228,1932,kvinderne,0.00010721247563352827,11,1.7047480922384253,0.00018277026330041596
22711,1932,vølund,0.00021442495126705653,22,0.7884573603642703,0.00016906493107226068
23090,1932,skolebøger,0.0001267056530214425,13,1.2992829841302609,0.0001646264989638732
23694,1932,forsørgerpligter,6.82261208576998e-05,7,2.3978952727983707,0.00016359909268604867
34937,1933,ebstrup,0.0001362265252505595,14,2.3978952727983707,0.0003266569409280645
34114,1933,1933,0.0016152573708280626,166,0.20067069546215124,0.00032413481995443325
34823,1933,unmack-larsen,0.00016541792351853652,17,1.7047480922384253,0.00028199588954026686
34534,1933,hunde,0.00026272258441179333,27,1.0116009116784799,0.0002657704059094965
35192,1933,schæferhunde,0.00010703512698258247,11,2.3978952727983707,0.00025665902501490785
34698,1933,garnisonssygehuset,0.00019460932178651358,20,1.2992829841302609,0.00025285258035034756
34872,1933,4141,0.0001459569913398852,15,1.7047480922384253,0.00024881990253552966
34490,1933,mole,0.0002919139826797704,30,0.7884573603642703,0.00023016172823711308
34396,1933,skive,0.0003600272453050501,37,0.6061358035703155,0.00021822540364018365
34822,1933,undervisningsplanen,0.00016541792351853652,17,1.2992829841302609,0.0002149246932977954
35399,1933,kriseramte,8.757419480393111e-05,9,2.3978952727983707,0.00020999374773947004
34870,1933,vædsker,0.00015568745742921086,16,1.2992829841302609,0.00020228206428027804
34553,1933,j._perregaard,0.00025299211832246766,26,0.7884573603642703,0.000199473497805498
35092,1933,maskinen,0.00011676559307190815,12,1.7047480922384253,0.0001990559220284237
35462,1933,besejlingen,7.784372871460543e-05,8,2.3978952727983707,0.00018666110910175115
46477,1934,socialudvalget,0.0009329861493965276,110,0.3184537311185346,0.00029711292035723876
46435,1934,1934,0.001382515839560309,163,0.20067069546215124,0.00027743041501200713
47423,1934,arke’s,0.00011026199947413508,13,2.3978952727983707,0.00026439672730832497
47334,1934,munch,0.0001272253840086174,15,1.7047480922384253,0.00021688723067299158
47346,1934,unmack-larsen,0.0001272253840086174,15,1.7047480922384253,0.00021688723067299158
46844,1934,1934-35,0.0002544507680172348,30,0.7884573603642703,0.00020062358089353025
47216,1934,kvt,0.00014418876854309972,17,1.2992829841302609,0.0001873420134707461
47879,1934,lønancienn,7.633523040517044e-05,9,2.3978952727983707,0.00018304388813653266
