gender,income,criminals,diffrace,leftwings,alcoholics,rightwings,manykids,neurotics,muslims,imigrants,aids,addicts,homoseksuals,jews,gypsies,age,edu,id
1,600000,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47,1,81
2,450000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,3,82
2,230000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,0,83
2,240000,1,0,0,0,1,0,0,0,0,0,1,0,0,0,59,3,84
2,550000,1,0,0,0,1,0,0,0,0,0,1,0,0,0,35,3,85
1,940000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,20,0,86
2,180000,0,0,0,1,1,0,1,0,0,0,1,0,0,0,21,3,87
1,750000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,36,4,88
1,580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,89
1,900000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,49,4,90
1,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,91
2,300000,0,0,0,1,1,0,1,0,0,0,0,0,0,0,66,3,92
1,600000,0,0,0,1,1,0,0,0,0,0,1,0,0,1,38,1,93
1,475000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,2,94
1,450000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,1,95
2,450000,1,0,0,1,0,0,0,0,0,0,1,0,0,1,29,2,96
2,170000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,1,97
2,450000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,44,3,98
2,600000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,50,3,99
1,500000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,32,3,100
2,1000050,1,0,0,1,0,0,0,0,0,0,1,0,0,0,55,3,101
1,280000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,62,3,102
1,320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2,103
2,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,104
1,670000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,32,3,105
1,270000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,56,1,106
2,350000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0,107
2,535000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28,1,108
